ArticleTitle,Question,Answer,question_keyword,rule_label,manually_label,Correctly_labelled
Canada,How has Canada helped UN peacekeeping efforts?,"During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989",how,Descriptive,Descriptive,1
Canada,What percentage of the population don't speak English or French at home?,28%,what,Objective,Objective,1
Canada,How many provinces and territories does Canada have?,A federation now comprising ten provinces and three territories,how,Objective,Objective,1
Canada,What is Canada's national unemployment rate?,"While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador. ",what,Objective,Descriptive,0
Canada,Where is the most densely populated part of Canada?,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.,where,Objective,Objective,1
Canada,What is the largest country in the world?,"Canada is the second largest country in the world, after Russia, and largest on the continent.",what,Objective,Objective,1
Canada,What is the largest religious group in Canada?,"According to 2001 census, 77.1% of Canadians identified as being Christians; of this, Catholics make up the largest group (43.6% of Canadians). The largest Protestant denomination is the United Church of Canada; about 16.5% of Canadians declare no religious affiliation, and the remaining 6.3% were affiliated with religions other than Christianity, of which the largest is Islam numbering 1.9%, followed by Judaism: 1.1%. ",what,Objective,Descriptive,0
Canada,When did Canada have one of the largest armed forces in the world?,1944,when,Objective,Objective,1
Canada,What have been inhabited for millennia by aboriginal peoples?,The lands,what,Objective,Objective,1
Canada,European books and maps began referring to this region as Canada in what year?,1545,what,Objective,Objective,1
Canada,What was Canada's most important industry until the 1800s?,The fur trade,what,Objective,Objective,1
Canada,How do cuba and declining participation relate?,Canada maintains full relations with both.,how,Descriptive,Descriptive,1
Canada,What did Canada adopt in 1965?,The Maple Leaf Flag,what,Objective,Objective,1
Canada,What arrived in Britain?,The first Canadian Army units in WW II,what,Objective,Objective,1
Canada,What happened in 1867?,"Canada was formed as a federal, semi-autonomous polity",what,Objective,Descriptive,0
duck,What is the name of a specialized species of duck adapted to catch large fish?,the smew,what,Objective,Objective,1
duck,What animal attracts the most humor and silliness?,The duck,what,Objective,Objective,1
duck,What is an economic use of a duck?,Meat,what,Objective,Objective,1
duck,Who is Daffy Duck?,A silly cartoon character,who,Objective,Objective,1
duck,What makes it more difficult for a diving duck to fly?,They are heavier,what,Objective,Descriptive,0
duck,What are the reasons for hunting wild ducks?,"Meat, eggs, and feathers",what,Objective,Descriptive,0
duck,What economic uses to ducks have?,"They are farmed for their meat, eggs and feathers. They are also kept and bred by aviculturists and often displayed in zoos.",what,Objective,Descriptive,0
duck,What kind of ducks feed on land?,Dabbling ducks,what,Objective,Objective,1
duck,What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",what,Objective,Objective,1
duck,What does the word duck mean?,It is the common name for a number of species in the Anatidae family of birds.,what,Objective,Descriptive,0
duck,What are some common predators of ducks?,"Pike, crocodilians, herons, hawks and eagles.",what,Objective,Objective,1
duck,How does a Mallard's tongue work?,"It's tongue is a flat plate, and on the tongue's back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat",how,Objective,Descriptive,0
duck,What types of unrelated water birds with similar forms are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",what,Objective,Objective,1
duck,Why are ducklings particularly vulnerable?,Their inability to fly.,why,Descriptive,Descriptive,1
duck,What are some economic uses for duck?,"Meat,eggs,feathers",what,Objective,Objective,1
duck,What allows a duck to filter water out of the side of their beaks and keep food inside?,Tiny rows of plates called lamellae,what,Objective,Objective,1
duck,What expression is part of a conceptual framework for testing computer systems?,Quacks like a duck,what,Objective,Objective,1
duck,"Where did the expression ""a sitting duck"" come from?","In many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.",where,Objective,Objective,1
Egypt,When was the Six Day War?,1967,when,Objective,Objective,1
Egypt,What religions has Egypt outlawed?,"All but Christianity, Islam, and Judaism",what,Objective,Objective,1
Egypt,What is the poulation of Egypt?,more than 78 million,what,Objective,Objective,1
Egypt,Why does most of Egypt's population live near the Nile?,"the only arable agricultural land is found there,",why,Descriptive,Descriptive,1
Egypt,During what period was Akhenaten a Pharaoh?,The New Kingdom (c.1550&#8722;1070 BC),what,Objective,Objective,1
Egypt,Since when has Egypt been a republic?,June 18 1953.,when,Objective,Objective,1
Egypt,When were the Great Sphinx and the Pyramids of Giza built?,During the Old Kingdom.,when,Objective,Objective,1
Egypt,What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel.",what,Objective,Objective,1
Egypt,What is the estimated population of Egypt?,More than 78 million.,what,Objective,Objective,1
Egypt,When did organized agriculture appear in the Nile Valley?,6000 BC.,when,Objective,Objective,1
elephant,How many living species of African Elephants are there?,2,how,Objective,Objective,1
elephant,How long may elephants live?,70 years,how,Descriptive,Objective,0
elephant,Why does the phrase 'elephants never forget' have no metaphorical meaning?,it refers literally to elephants supposedly having an excellent memory,why,Descriptive,Descriptive,1
elephant,How many living species of Asian Elephants are there?,1,how,Objective,Objective,1
elephant,How much do elephants weight at birth?,120 kilograms,how,Descriptive,Objective,0
elephant,What did Aristotle say about elephants?,the beast which pasS08_seth all others in wit and mind,what,Objective,Descriptive,0
elephant,How do elephants communicate over long distances?,by producing and receiving low frequency sound,how,Descriptive,Descriptive,1
elephant,When do African elephants lie down?,when they are sick or wounded,when,Objective,Objective,1
elephant,How long is the elephant's gestation period?,22 months,how,Objective,Objective,1
elephant,How many species of African elephants have been proposed?,three,how,Descriptive,Objective,0
elephant,What are the elephant's ears important for?,temperature regulation,what,Objective,Descriptive,0
elephant,What land animal has the largest brain?,elephant,what,Objective,Objective,1
elephant,What is the world population of Asian elephants?,60000,what,Objective,Objective,1
elephant,What part of an elephant is very important for temperature regulation?,Ears,what,Objective,Objective,1
elephant,Where was the largest elephant ever recorded shot?,Angola,where,Objective,Objective,1
elephant,What land animal is larger than an elephant?,None,what,Objective,Objective,1
Finland,Which Russian army general conquered Finland in 1809?,Alexander I,which,Objective,Objective,1
Finland,What is the life expectancy for men in Finland?,75 years,what,Objective,Objective,1
Finland,"In what year were the ""Games of the XV Olympiad"" held?",1952,what,Objective,Objective,1
Finland,What body of water lies to the south of Finland?,the Gulf of Finland,what,Objective,Objective,1
Finland,What is the life expectancy for men?,75 years,what,Objective,Objective,1
Finland,What is the biggest city in Finland?,Greater Helsinki,what,Objective,Objective,1
Finland,Who is the most popular rock group in Finland?,CMX,who,Objective,Objective,1
Finland,What is Finland's economy like?,"a highly industrialised, free-market economy",what,Objective,Objective,1
Finland,Where is Finland located?,Northern Europe,where,Objective,Objective,1
Finland,What is the weather like in summer?,relatively warm,what,Objective,Objective,1
Finland,When did the first verifiable written documents appear?,Twelfth Century,when,Objective,Objective,1
Finland,What is the capital city?,Helsinki,what,Objective,Objective,1
Finland,What is the most extensively celebrated holiday?,Christmas,what,Objective,Objective,1
Finland,What is a country with which Finland is involved in an international conflict?,None,which,Objective,Objective,1
Finland,What is Helsinki?,,what,Objective,Descriptive,0
Finland,What is concentrated in the southern part of the country?,,what,Objective,Descriptive,0
Finland,What is spoken natively by a 5.5 percent minority?,,what,Objective,Objective,1
Finland,What do jari litmanen and sami hyypi_ have in common?,,what,Objective,Objective,1
Finland,What did Finland join in 1995?,,what,Objective,Objective,1
Finland,What situated in Northern?,,what,Objective,Objective,1
Finland,What arrived in Finland?,,what,Objective,Objective,1
Finland,What ceded by Finland?,,what,Objective,Objective,1
Finland,"Who is the autonomous 棄___廟ﾎｾﾜﾎnd Islands , where Finnish is not compulsory due to Swedish being the sole official language of the province . ?",,who,Objective,Objective,1
Finland,Did the relationship between the Grand Duchy and the Russian Empire not sour when the Russian government made moves to restrict Finnish autonomy ?,,when,Objective,Objective,1
Finland,"Is finland , officially the republic of finland (`` `` republic of finland ('' '' , or (`` `` suomen tasavalta ('' '' in finnish and (`` `` republiken finland ('' '' in swedish , the long protocol name , which is not defined by the law?",,which,Objective,Objective,1
Gerald_Ford,For how long was Ford a member of the House of Representatives?,Over eight years.,how,Objective,Objective,1
Gerald_Ford,What positions Ford played in the school football team?,Center and linebacker,what,Objective,Objective,1
Gerald_Ford,What did Ford say about his biological father?,He was abusive and had a history of hitting his mother.,what,Objective,Descriptive,0
Gerald_Ford,Who did Ford nominate for Vice President?,Bob Dole,who,Objective,Objective,1
Gerald_Ford,What district was Ford elected from?,Michigan's 5th congressional district,what,Objective,Objective,1
Gerald_Ford,How many Eagle Scouts were involved in Ford's funeral procession?,400,how,Objective,Objective,1
Gerald_Ford,Which future Heisman Trophy winner did Ford tackle?,Jay Berwanger,which,Objective,Objective,1
Gerald_Ford,How do kwajalein and eniwetok relate?,The Monterey supported landings at both locations.,how,Descriptive,Descriptive,1
Gerald_Ford,"What did Ford receive on April 13, 1942?",Ford received a commission as ensign in the US Naval Reserve.,what,Objective,Objective,1
Ghana,When did Ghana achieve independence from the United Kingdom?,1957,when,Objective,Objective,1
Ghana,How many regions is Ghana divided into?,10,how,Objective,Objective,1
Ghana,Who is the head of state of Ghana?,President John Agyekum Kofuor,who,Objective,Objective,1
Ghana,What is the dominant religion in Ghana?,Christian,what,Objective,Objective,1
Ghana,What are the two subfamilies of the Native Ghanaian languages?,Kwa and Gur,what,Objective,Objective,1
Ghana,What is the weather like at Lake Volta?,Warm and comparatively dry,what,Objective,Objective,1
Ghana,What does the word Ghana mean?,warrior king,what,Objective,Descriptive,0
Ghana,Who was Kwame Nkrumah?,founder and first president,who,Objective,Objective,1
Ghana,Where is old Ghana in relation to present Ghana?,500 miles north,where,Objective,Objective,1
Ghana,Who makes up Ghana's Parliament?,the New Patriotic Party and National Democratic Congress,who,Objective,Objective,1
Ghana,What European countries established states in Ghana?,The UK,what,Objective,Objective,1
Ghana,What was Wagadugu?,,what,Objective,Descriptive,0
Ghana,"What was controlled by Sundiata in 1240 AD, and absorbed into the larger Mali Empire?",,what,Objective,Objective,1
Ghana,What connected the Akans to this Empire?,,what,Objective,Objective,1
Ghana,What did Ghana capture in 1642?,,what,Objective,Objective,1
Ghana,What was on March?,,what,Objective,Descriptive,0
Ghana,Who sits at Osu Castle ?,,who,Objective,Objective,1
Ghana,Had the tax regime which started in 1998 a single rate but since September 2007 entered into a multiple rate regime ?,,which,Objective,Objective,1
Ghana,What happened with the portuguese in the 15th century?,,what,Objective,Descriptive,0
Gray_Wolf,What kinds of coats do wolves have?,bulky coats with two layers,what,Objective,Objective,1
Gray_Wolf,Where do wolves have scent glands?,Helping the woldf to effectively navigate over large expanses while concurrently keeping others informed of its whereabouts.,where,Objective,Objective,1
Gray_Wolf,How much do wolves weigh?,typically varies between 32 and 62 kilograms,how,Descriptive,Objective,0
Gray_Wolf,Why do wolves howl?,"Howling helps pack members keep in touch, allowing them to communicate effectively in thickly forested areas or over great distances. Howling also helps to call pack members to a specific location. Howling can also serve as a declaration of territory, as shown in a dominant wolf&apos;s tendency to respond to a human imitation of a ""rival"" wolf in an area the wolf considers its own. ",why,Descriptive,Descriptive,1
Gray_Wolf,What is surplus killing?,Surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting.,what,Objective,Descriptive,0
Gray_Wolf,Where is the largest gray wolf population thought to be found?,Kazakhstan,where,Objective,Objective,1
Gray_Wolf,To what genus does the gray wolf belong?,Canis,what,Objective,Objective,1
Gray_Wolf,When do wolves molt?,Late Spring or Early Summer,when,Objective,Objective,1
Gray_Wolf,Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?,A pack can only suppport one littler per year,why,Descriptive,Descriptive,1
Gray_Wolf,What type of tools do biologists use to capture wolves for tagging?,Darting and Foot hold traps.,what,Objective,Objective,1
Gray_Wolf,"Forward, erect ears and slightly bristle hackles are a sign of what in wolves?",Dominance,what,Objective,Descriptive,0
Grover_Cleveland,Where was Grover Cleveland married?,In the White House,where,Objective,Objective,1
Grover_Cleveland,What did Cleveland die from?,A heart attack,what,Objective,Objective,1
Grover_Cleveland,How many years after Cleveland left office did the U.S. win the Spanish-American War?,One Year,how,Descriptive,Objective,0
Grover_Cleveland,What did Cleveland's opponents say in 1884 to counter his innocent image?,That he had fathered an illegitimate child,what,Objective,Descriptive,0
Grover_Cleveland,Who did Cleveland run against in 1884?,former Senator James G. Blaine of Maine,who,Objective,Objective,1
Grover_Cleveland,Why did Cleveland want to hide his cancer surgery from the public?,To avoid further market panic,why,Descriptive,Descriptive,1
Grover_Cleveland,"When was he elected sheriff of Erire County, New York?",Yes.,when,Objective,Objective,1
Grover_Cleveland,When did he die?,June 24 1908,when,Objective,Objective,1
Grover_Cleveland,Which election did Grover Cleveland win?,1884 and 1892 presidential elections,which,Objective,Objective,1
Grover_Cleveland,Who were Grover Cleveland's parents?,"Cleveland was born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal.",who,Objective,Objective,1
Grover_Cleveland,How many children did Grover Cleveland have?,5,how,Descriptive,Objective,0
Grover_Cleveland,Who lost control of his party to the agrarians and silverites in 1896?,Grover Cleveland,who,Objective,Objective,1
Henri_Becquerel,He became chief engineer in the Department of Bridges and Highways in what year?,in 1894,what,Objective,Objective,1
Henri_Becquerel,What led Becquerel to investigate the spontaneous emission of nuclear radiation?,phographic plates being fully exposed,what,Objective,Descriptive,0
Henri_Becquerel,When did he marry louise d_sir_e lorieux?,1890,when,Objective,Objective,1
Henri_Becquerel,Who won the 1903 Nobel Prize in Physics for discovering radioactivity ?,Henri Becquerel,who,Objective,Objective,1
Henri_Becquerel,What happened in 1896?,Becquerel accidentally discovered radioactivity.,what,Objective,Descriptive,0
Henri_Becquerel,What happened with a bromide emulsion in two sheets of very thick black paper?,the plate does not become clouded upon being exposed to the sun for a day,what,Objective,Descriptive,0
Indonesia,In what year did East Timor secede from Indonesia?,1999,what,Objective,Objective,1
Indonesia,When did Islam become the dominant religion in Java and Sumatra?,the end of the 16th century,when,Objective,Objective,1
Indonesia,Why did Indonesia break off relations with the People's Republic of China?,because of anti-communist purges early in the Suharto era,why,Descriptive,Descriptive,1
Indonesia,Which spice originally attracted Europeans to Indonesia?,"nutmeg, cloves, or cubeb pepper",which,Objective,Objective,1
Indonesia,What is Jakarta?,Indonesia's special capital region,what,Objective,Descriptive,0
Indonesia,"What shares land borders with Papua New Guinea, East Timor and Malaysia?",Indonesia,what,Objective,Objective,1
Indonesia,What are the largest and politically dominant ethnic group?,the Javanese,what,Objective,Objective,1
Indonesia,What happens when the srivijaya kingdom formed trade links?,The indonesian archipelago became an important trade region,when,Objective,Descriptive,0
Indonesia,Who has its own political legislature and governor ?,each province,who,Objective,Objective,1
Isaac_Newton,What Eves?,,what,Objective,Descriptive,0
Isaac_Newton,What are a rumors that he remained a virgin?,,what,Objective,Descriptive,0
Isaac_Newton,"Who was, by later reports of his contemporaries, thoroughly unhappy with the work?",,who,Objective,Objective,1
Isaac_Newton,"What did Isaac Newton place at 3 April, AD 33, which agrees with one traditionally accepted date?",,which,Objective,Objective,1
Isaac_Newton,What died in London?,,what,Objective,Objective,1
Isaac_Newton,What was against William?,,what,Objective,Objective,1
Isaac_Newton,What quartered on March?,,what,Objective,Objective,1
Isaac_Newton,"Are Various trees claimed to be "" the "" apple tree which Newton describes ?",,which,Objective,Objective,1
Isaac_Newton,Was this study cast into doubt when it was later found that Newton himself wrote the study 's concluding remarks on Leibniz ?,,when,Objective,Objective,1
Isaac_Newton,What happened at the time of newton 's birth?,,what,Objective,Descriptive,0
Isaac_Newton,What happened from school?,,what,Objective,Descriptive,0
Isaac_Newton,What happened on those of aristotle?,,what,Objective,Descriptive,0
James_Monroe,What is the first word on the page?,James,what,Objective,Objective,1
James_Monroe,What is the first number on the page?,28,what,Objective,Objective,1
James_Monroe,When did Monroe's presidency expired?,"March 4, 1825",when,Objective,Objective,1
James_Monroe,What is Monroe's father's name?,Spence,what,Objective,Objective,1
James_Monroe,What is Monroe's daughter's name?,Maria Hester Monroe Gouverneur,what,Objective,Objective,1
James_Monroe,"What does ""Era of Good Feelings"" refers to?",Reduced tension,what,Objective,Descriptive,0
James_Monroe,What is Monroe Doctrine?,A doctrine declaring U.S. opposition to European interference in the Americas.,what,Objective,Descriptive,0
James_Monroe,Where was James Monroe born?,"Westmoreland County, Virginia",where,Objective,Objective,1
James_Monroe,Where was James Monroe shot?,"at the Battle of Trenton, in his left shoulder",where,Objective,Objective,1
James_Monroe,Who did James Monroe marry?,Elizabeth Kortright,who,Objective,Objective,1
James_Monroe,What did James Monroe do before being elected governor?,He practiced law in Virginia.,what,Objective,Descriptive,0
James_Monroe,In which years were John Monroe elected as President?,1817-1825,which,Objective,Objective,1
James_Monroe,Who was John Monroe standing behind in the painting of  Washington Crossing the Delaware?,George Washington,who,Objective,Objective,1
James_Monroe,When was James Monroe appointed to Secretary of War?,1814,when,Objective,Objective,1
James_Monroe,When did James Monroe die?,"July 4, 1831",when,Objective,Objective,1
James_Monroe,When did James Monroe graduate from William and Mary?,1776,when,Objective,Objective,1
James_Monroe,When was James Monroe elected president?,"Monroe was elected president in the election of 1816, and re-elected in 1820.",when,Objective,Objective,1
James_Monroe,Which property did James Monroe sell in 1817?,Monroe Hill on the grounds of the University of Virginia.,which,Objective,Objective,1
James_Monroe,When did James Monroe introduce the Monroe Doctrine?,"December 2, 1823",when,Objective,Objective,1
James_Monroe,Who did James Monroe live with in New York City?,His daughter Maria Hester Monroe Gouverneur,who,Objective,Objective,1
James_Monroe,What did James Monroe's letters not contain?,No letters survive in which he might have discussed his religious beliefs.,what,Objective,Descriptive,0
James_Monroe,What was the result of the rejection of the Jay Treaty?,"As a result, the two nations moved closer toward the War of 1812. ",what,Objective,Descriptive,0
James_Monroe,Who is depicted holding the flag in the famous painting of Washington Crossing the Delaware?,Monroe,who,Objective,Objective,1
James_Monroe,"What dwindled and eventually died out, starting with the Hartford Convention?",The Federalist Party,what,Objective,Objective,1
James_Monroe,What did James Monroe make in 1817?,two long tours,what,Objective,Objective,1
James_Monroe,What expired on March?,Monroe's presidency,what,Objective,Objective,1
James_Monroe,Who dismantled partisan and sectional coalitions ?,many congressmen,who,Objective,Objective,1
James_Monroe,What happened in 1811?,Monroe returned to the Virginia House of Delegates and was elected to another term as governor of Virginia,what,Objective,Descriptive,0
James_Monroe,What happened in the election of 1816?,Monroe was elected president,what,Objective,Descriptive,0
James_Watt,Who died in childbirth in 1772?,Margaret Miller,who,Objective,Objective,1
James_Watt,Who died in 1832?,Margaret Miller.,who,Objective,Objective,1
John_Adams,When did Adams graduate from college?,1755,when,Objective,Objective,1
John_Adams,Who was on the committee with Adams to draft  a Declaration of Independence?,"Thomas Jefferson, Benjamin Franklin, Robert R. Livingston and Roger Sherman.",who,Objective,Objective,1
John_Adams,What did Jefferson call John Adams?,"The ""Colossus of Independence"".",what,Objective,Objective,1
John_Adams,What was Adams' political party?,The Federalist Party.,what,Objective,Objective,1
John_Adams,When did John Adams serve as Vice President?,1789-1797,when,Objective,Objective,1
John_Adams,With what party did Adams run for presidency?,The Federalist Party,what,Objective,Objective,1
John_Adams,Where is Adams buried?,United First Parish Church,where,Objective,Objective,1
John_Adams,Who were the midnight judges?,"They were a series of judges, so called because most of them were formally appointed days before Adams' presidential term expired",who,Objective,Objective,1
John_Adams,In what ways was Adams opposed by Anderw Hamilton?,Hamilton wanted to control the army differently than Adams,what,Objective,Descriptive,0
John_Adams,What information did he record in his diary?,Descriptions of events and ompressions of men,what,Objective,Descriptive,0
John_Adams,Who was defeated for re-election in the`` Revolution of 1800'' by Thomas Jefferson?,John Adams,who,Objective,Objective,1
John_Adams,Who represented the Continental Congress in Europe?,John Adams,who,Objective,Objective,1
John_Adams,What is now part of Adams National Historical Park?,John Adams' birthplace,what,Objective,Objective,1
John_Adams,Who did MassachuS08_setts send in 1774?,John Adams,who,Objective,Objective,1
John_Adams,What happened in 1764?,Adams married Abigail Smith,what,Objective,Descriptive,0
kangaroo,What is a collective noun for kangaroos?,"mob, troop, or court",what,Objective,Objective,1
kangaroo,Where do joeys complete postnatal development?,marsupium,where,Objective,Objective,1
kangaroo,"What do kangaroos use for ""crawl-walking?""",its hind feet,what,Objective,Objective,1
kangaroo,Why do kangaroos have a wide bite?,The two sides of the lower jaw are not joined together and the lower incisors are farther apart.,why,Descriptive,Descriptive,1
kangaroo,What is responsible for converting the hydrogen byproduct of fermentation into acetate?,bacteria,what,Objective,Objective,1
kangaroo,What is the average life expectancy of a kangaroo?,4.6 years,what,Objective,Objective,1
kangaroo,When did the first official report of kangaroo blindness take place?,1994,when,Objective,Objective,1
kangaroo,What are vehicles that frequent isolated roads often fitted with?,roo bars,what,Objective,Objective,1
